fruit,form,average_retail_price,price_unit,preparation_yield_factor,cup_equivalent_size,cup_equivalent_unit,average_price_per_cup
Apples,Fresh,1.62,per pound,0.9,0.243,pounds,0.44
"Apples, applesauce",Canned,1.05,per pound,1,0.54,pounds,0.57
"Apples, ready-to-drink",Juice,0.63,per pint,1,8,fl oz,0.32
"Apples, frozen concentrate",Juice,0.51,per pint,1,8,fl oz,0.26
Apricots,Fresh,3.09,per pound,0.93,0.364,pounds,1.21
"Apricots, packed in juice",Canned,1.47,per pound,1,0.540,pounds,0.80
"Apricots, packed in syrup or water",Canned,1.86,per pound,0.65,0.441,pounds,1.26
Apricots,Dried,7.33,per pound,1,0.143,pounds,1.05
Bananas,Fresh,0.55,per pound,0.64,0.331,pounds,0.28
"Berries, mixed",Frozen,3.64,per pound,1,0.331,pounds,1.20
Blackberries,Fresh,5.66,per pound,0.96,0.320,pounds,1.89
Blackberries,Frozen,3.69,per pound,1,0.331,pounds,1.22
Blueberries,Fresh,4.39,per pound,0.95,0.320,pounds,1.48
Blueberries,Frozen,3.47,per pound,1,0.331,pounds,1.15
Cantaloupe,Fresh,0.52,per pound,0.51,0.375,pounds,0.38
Cherries,Fresh,3.21,per pound,0.92,0.342,pounds,1.19
"Cherries, packed in syrup or water",Canned,3.73,per pound,0.65,0.441,pounds,2.53
Cranberries,Dried,4.69,per pound,1,0.123,pounds,0.58
Dates,Dried,5.51,per pound,1,0.165,pounds,0.91
Figs,Dried,6.13,per pound,0.96,0.165,pounds,1.06
"Fruit cocktail, packed in juice",Canned,1.41,per pound,1,0.540,pounds,0.76
"Fruit cocktail, packed in syrup or water",Canned,1.26,per pound,0.65,0.441,pounds,0.86
Grapefruit,Fresh,1.01,per pound,0.49,0.463,pounds,0.95
"Grapefruit, ready-to-drink",Juice,0.85,per pint,1,8,fl oz,0.42
Grapes,Fresh,2.24,per pound,0.96,0.331,pounds,0.77
Grapes (raisins),Dried,3.58,per pound,1,0.165,pounds,0.59
"Grapes, ready-to-drink",Juice,0.85,per pint,1,8,fl oz,0.42
"Grapes, frozen concentrate",Juice,0.74,per pint,1,8,fl oz,0.37
Honeydew,Fresh,0.83,per pound,0.46,0.375,pounds,0.67
Kiwi,Fresh,2.18,per pound,0.76,0.386,pounds,1.11
Mangoes,Fresh,1.32,per pound,0.71,0.364,pounds,0.68
Mangoes,Dried,10.16,per pound,1,0.125,pounds,1.27
Nectarines,Fresh,1.88,per pound,0.91,0.320,pounds,0.66
Oranges,Fresh,1.10,per pound,0.68,0.408,pounds,0.66
"Oranges, ready-to-drink",Juice,0.85,per pint,1,8,fl oz,0.42
"Oranges, frozen",Juice,0.66,per pint,1,8,fl oz,0.33
Papaya,Fresh,1.29,per pound,0.62,0.309,pounds,0.64
Papaya,Dried,5.27,per pound,1,0.154,pounds,0.81
Peaches,Fresh,1.68,per pound,0.96,0.342,pounds,0.60
"Peaches, packed in juice",Canned,1.88,per pound,1,0.540,pounds,1.02
"Peaches, packed in syrup or water",Canned,1.59,per pound,0.65,0.441,pounds,1.08
Peaches,Frozen,3.19,per pound,1,0.331,pounds,1.05
Pears,Fresh,1.52,per pound,0.9,0.364,pounds,0.61
"Pears, packed in juice",Canned,1.79,per pound,1,0.54,pounds,0.97
"Pears, packed in syrup or water",Canned,1.57,per pound,0.65,0.441,pounds,1.07
Pineapple,Fresh,0.65,per pound,0.51,0.364,pounds,0.47
"Pineapple, packed in juice",Canned,1.28,per pound,1,0.54,pounds,0.69
"Pineapple, packed in syrup or water",Canned,1.36,per pound,65,0.441,pounds,0.92
Pineapple,Dried,5.87,per pound,1,0.154,pounds,0.91
"Pineapple, ready-to-drink",Juice,0.97,per pint,1,8,fl oz,0.49
"Pineapple, frozen concentrate",Juice,0.62,per pint,1,8,fl oz,0.31
Plum,Fresh,1.99,per pound,0.94,0.364,pounds,0.77
Plum (prune),Dried,4.73,per pound,1,0.187,pounds,0.89
"Plum (prune), ready-to-drink",Juice,1.45,per pint,1,8,fl oz,0.72
Pomegranate,Fresh,2.08,per pound,0.56,0.345,pounds,1.27
"Pomegranate, ready-to-drink",Juice,3.01,per pint,1,8,fl oz,1.51
Raspberries,Fresh,6.88,per pound,0.96,0.320,pounds,2.29
Raspberries,Frozen,4.76,per pound,1,0.331,pounds,1.58
Strawberries,Fresh,2.51,per pound,0.94,0.320,pounds,0.85
Strawberries,Frozen,2.61,per pound,1,0.331,pounds,0.86
Tangerines,Fresh,1.48,per pound,0.74,0.408,pounds,0.82
Watermelon,Fresh,0.32,per pound,0.52,0.331,pounds,0.20
